Loc+, Acap, Aexp, Arch, Cplx, Data, Docu, Flex, Ltex, Pcap, Pcon, Plex, Pmat, Prec, Pvol, Rely, Ruse, Sced, Site, Stor, Team, Time, Tool, Risk-, Effort-
955,3,4,4,4,3,4,2,3,1,3,3,3,4,4,4,3,3,3,4,1,5,3,7,42913
1250,4,3,3,2,3,5,3,4,5,5,2,2,6,3,4,4,2,3,4,1,4,4,2,23582
812,2,3,1,2,3,1,3,4,2,1,4,4,3,3,3,6,4,3,3,4,3,5,0,10261
854,4,2,2,4,4,4,2,3,1,5,2,5,3,3,3,4,3,2,4,4,4,1,10,34678
1528,4,5,3,4,5,5,5,2,5,2,5,4,4,4,5,4,1,1,5,3,4,4,5,80912
325,2,4,2,3,4,4,3,4,3,3,5,1,3,3,3,3,2,4,3,5,6,3,8,5704
49,4,2,4,2,4,2,4,3,3,3,3,4,4,4,3,4,4,1,6,2,5,3,1,1014
1320,3,1,5,4,4,5,5,3,4,4,3,1,3,3,3,3,2,2,5,6,5,3,4,63140
1534,4,2,2,2,4,1,4,3,4,2,3,5,3,5,2,4,5,4,3,2,6,3,0,21444
1470,2,5,1,1,4,3,4,5,5,3,2,3,5,4,2,5,3,3,3,5,3,4,0,9285
1990,4,4,2,5,3,4,4,2,5,1,4,5,4,4,2,4,2,2,3,3,3,3,0,57886
37,1,2,3,3,4,2,6,4,3,2,1,5,5,4,5,4,1,4,3,1,5,1,29,1617
1613,5,1,2,5,3,1,3,5,3,3,2,3,1,3,3,4,1,4,6,2,5,2,15,100164
947,3,4,3,3,4,3,3,2,3,5,1,4,3,2,2,5,3,2,4,2,3,2,1,21649
1007,2,1,4,3,4,2,3,2,5,2,4,4,6,3,1,5,5,3,5,5,3,2,3,15023
1330,3,1,3,2,4,5,5,1,4,4,2,4,5,3,5,5,4,1,5,5,6,4,5,74781
55,2,5,5,2,5,5,2,4,3,5,2,4,2,2,5,2,5,4,5,2,5,4,4,361
696,2,5,1,4,4,3,2,4,5,4,3,3,1,4,5,6,4,3,4,3,5,1,6,36321
1278,2,3,3,1,4,4,4,3,4,4,1,3,2,5,3,2,2,2,5,4,3,5,6,25613
576,1,1,5,2,2,4,4,4,1,1,3,1,4,4,3,3,4,2,5,5,6,5,15,14272
489,4,5,2,4,2,3,2,1,2,4,2,4,1,3,3,3,5,2,4,2,4,5,1,8265
710,4,3,2,2,4,3,2,4,2,2,2,3,1,3,4,6,4,3,4,2,6,4,3,39732
989,5,4,5,4,4,2,2,2,5,3,2,4,3,4,1,5,2,2,6,3,6,5,3,18227
507,4,2,6,4,3,1,3,3,1,5,4,1,4,3,3,3,2,5,6,1,3,4,12,4251
608,2,1,2,2,3,4,3,3,2,5,4,4,2,3,3,4,3,2,3,5,4,4,1,12888
1256,2,3,5,3,2,4,6,3,4,4,3,4,3,4,2,6,1,4,4,2,4,4,8,20176
1752,3,3,2,1,3,1,5,3,2,3,3,2,5,3,4,4,5,2,5,4,6,3,5,26150
1670,2,3,5,4,3,2,5,3,4,4,4,4,3,2,1,6,2,2,4,2,3,4,2,19338
1560,2,5,2,1,5,1,5,2,2,4,2,4,4,3,3,5,2,2,6,3,4,3,8,23935
1800,3,2,6,4,4,1,1,1,3,3,5,2,2,3,2,4,4,4,4,3,5,1,4,57323
469,2,3,2,2,3,4,2,1,4,4,5,4,1,5,4,3,1,2,4,5,3,3,8,14100
106,2,3,4,4,2,3,4,4,2,5,3,1,5,2,3,5,3,4,5,5,3,1,8,1297
1946,4,2,1,3,5,2,4,5,3,4,5,6,5,3,3,5,3,2,5,5,4,3,1,16596
959,5,2,3,2,2,1,4,2,5,4,5,2,2,4,1,5,4,5,6,2,4,2,1,4765
862,5,4,5,4,4,5,5,3,4,3,2,4,4,4,4,4,4,3,4,3,5,3,0,16687
1161,4,2,2,3,5,3,6,2,2,4,3,5,2,5,5,5,1,5,4,4,4,4,15,34808
725,2,2,3,4,3,2,4,2,1,2,4,4,2,4,5,3,2,2,5,2,5,3,20,59108
1800,1,4,4,5,2,2,5,4,4,2,4,2,1,5,4,3,2,3,5,4,5,3,13,62212
517,3,1,2,4,2,1,4,3,2,2,4,5,2,3,4,5,1,1,6,3,4,2,16,22978
630,2,5,4,1,4,2,5,5,1,3,3,1,6,2,3,4,3,3,5,4,5,3,9,6416
539,3,3,3,4,2,3,6,4,1,1,2,1,4,5,1,5,3,2,5,3,4,3,5,23864
1477,4,1,5,4,3,4,1,3,5,2,2,6,2,3,2,4,4,1,5,1,5,4,4,62487
1823,4,2,4,4,3,2,3,5,4,3,3,5,2,3,4,5,2,2,5,1,5,4,5,73619
356,1,5,5,5,4,4,5,2,5,3,4,4,4,5,3,4,5,3,4,2,4,3,4,5082
1036,4,4,5,1,5,2,2,3,4,3,5,3,1,2,1,3,4,1,5,2,5,2,0,10795
601,2,4,3,5,4,3,2,2,2,3,2,1,1,3,2,5,2,5,3,1,5,3,12,38955
677,1,4,3,6,5,4,4,4,4,1,5,4,1,2,4,4,4,5,5,2,3,2,10,15966
1824,4,3,3,1,4,5,3,2,3,2,3,3,5,2,2,2,2,2,4,6,5,1,2,33197
563,3,3,5,3,3,5,6,1,5,4,2,4,3,2,3,4,3,2,5,3,4,3,0,8575
694,3,2,4,3,2,1,3,2,1,2,1,4,4,4,2,5,4,2,4,5,4,1,9,21668
845,4,3,3,2,5,2,3,2,2,1,1,5,5,4,3,5,2,4,6,3,5,3,10,42118
163,4,2,4,4,5,5,3,4,2,4,2,4,2,3,3,6,1,2,6,4,6,3,15,11860
1174,5,2,5,3,2,3,2,2,5,4,2,5,3,4,3,6,1,4,3,6,6,2,14,22767
758,3,3,4,2,4,3,4,5,1,2,2,5,3,4,4,4,2,4,4,6,3,3,7,12105
1522,5,3,4,5,4,4,4,5,5,4,3,2,4,3,4,6,3,4,4,5,3,2,2,16883
1950,5,2,4,2,3,2,3,2,2,4,5,1,1,5,5,2,1,4,4,3,4,2,19,69050
12,2,4,4,3,2,3,1,3,4,4,4,5,5,5,1,4,2,3,5,6,5,1,7,85
1100,1,3,2,2,3,5,4,4,1,2,1,1,3,3,4,3,4,4,4,6,5,2,15,64837
1650,4,3,3,3,2,4,5,2,2,1,2,5,1,3,3,6,2,3,5,5,6,2,12,104688
875,2,3,5,2,4,3,4,5,3,3,4,2,5,4,1,2,3,3,4,4,4,4,0,6493
197,2,5,5,3,3,3,3,4,3,5,2,5,2,2,2,3,4,5,5,4,4,2,0,1055
505,2,3,5,2,2,5,6,3,3,1,2,5,5,2,1,5,1,3,4,2,6,4,12,9070
1455,4,4,4,2,2,2,5,2,2,5,4,4,4,4,3,3,1,5,4,3,5,1,11,11856
1118,2,1,3,1,3,3,4,4,2,2,4,5,3,4,1,6,4,1,3,6,5,3,6,32182
1515,2,3,3,2,5,3,2,2,5,3,5,5,3,5,3,4,2,4,4,5,3,4,1,27560
1282,3,4,4,4,3,1,4,2,4,3,4,3,2,4,3,4,4,1,5,5,4,3,0,20250
1739,1,2,5,5,5,2,4,4,4,4,4,6,6,4,3,4,3,2,5,3,4,3,6,17622
1852,2,3,5,5,3,3,1,4,4,4,2,4,1,4,5,5,4,5,3,1,5,2,4,121593
451,5,2,5,5,3,5,2,1,4,3,1,1,2,4,4,6,2,4,4,3,5,4,14,49770
717,1,3,2,3,3,2,3,1,4,3,3,1,4,5,5,5,4,2,4,3,6,5,15,36364
848,3,1,3,4,5,3,3,3,4,5,3,6,4,3,3,4,5,2,3,4,3,5,0,8542
1763,3,3,6,6,3,2,5,3,3,5,2,3,2,3,4,3,1,3,4,4,5,4,12,53880
1442,2,4,5,4,4,1,3,2,3,2,1,5,4,4,5,2,3,5,6,2,4,4,7,25721
389,5,3,1,3,3,3,3,4,3,2,2,5,6,2,3,4,4,5,5,5,4,1,0,4583
1670,3,4,4,2,3,4,4,3,2,4,5,4,4,3,1,3,1,3,3,1,5,3,7,24128
222,2,1,3,5,3,2,5,5,3,1,1,5,3,5,2,3,4,4,3,5,5,5,3,3440
450,3,1,3,2,4,4,5,1,3,3,3,1,5,4,5,5,3,2,4,2,6,1,18,25426
396,2,2,1,3,3,2,2,4,4,4,3,6,5,2,4,2,3,4,4,4,6,4,3,4065
145,5,2,1,4,2,3,3,1,3,4,3,5,3,3,2,5,1,5,3,6,5,5,12,1295
684,4,3,3,4,3,3,1,3,4,3,4,5,5,3,1,4,5,4,4,4,6,4,0,5305
1689,1,1,5,5,4,1,6,1,3,2,2,4,4,5,3,2,4,2,4,5,4,4,6,52746
671,1,4,5,4,4,2,5,3,1,3,3,4,1,4,4,3,2,2,4,4,4,3,14,20439
1306,5,5,4,4,3,5,3,2,4,3,3,6,6,4,1,4,2,1,5,3,5,2,0,23240
434,3,2,2,2,4,4,3,5,3,3,4,2,5,3,4,4,2,3,5,2,6,1,9,24996
976,4,5,6,5,4,1,4,3,2,2,1,3,6,4,3,6,2,2,5,3,4,4,7,30313
169,3,3,2,5,5,3,2,3,3,3,3,6,5,4,2,2,2,3,5,2,6,2,7,5710
1657,2,3,4,5,2,2,4,5,4,3,4,6,2,5,3,4,3,4,5,4,4,5,1,13653
1842,2,2,2,1,2,5,2,4,5,3,3,4,2,2,4,5,4,2,5,2,4,2,2,63226
26,3,1,5,5,2,3,3,3,3,4,2,5,5,3,2,6,3,2,4,4,4,1,7,514
646,5,5,5,4,4,4,1,2,5,2,3,6,5,2,3,5,4,1,5,2,5,2,1,8659
1204,4,3,3,2,3,2,1,1,2,4,3,1,2,3,2,2,1,2,4,1,6,3,17,42897
69,2,3,1,1,3,2,6,4,5,2,4,4,4,3,5,4,1,3,4,4,6,4,12,603
472,3,3,5,2,2,3,4,2,5,5,2,6,2,3,4,3,4,3,4,3,4,4,0,2964
775,3,3,3,1,3,4,6,4,2,2,2,5,2,3,4,2,2,2,5,5,4,3,4,18417
1570,4,2,2,3,4,2,3,2,2,1,1,5,1,3,4,5,3,2,5,2,5,3,7,170232
531,4,1,2,5,3,2,4,5,3,3,4,2,1,5,5,3,4,3,6,4,5,3,3,24313
1058,2,3,5,5,4,2,2,1,5,3,2,1,4,5,2,4,2,2,5,5,3,4,10,35816
1482,1,3,5,2,5,4,6,3,4,1,2,5,4,3,4,5,5,4,4,5,6,3,6,38180
424,1,5,3,5,5,2,2,3,5,4,4,1,5,3,3,4,4,4,5,4,4,2,11,6933
1844,3,5,5,3,4,2,5,1,1,1,2,3,3,3,2,6,5,1,5,2,3,2,11,81226
505,2,2,5,5,4,4,5,3,3,4,5,4,5,4,3,5,3,4,5,5,5,3,3,9044
1709,2,3,1,1,3,4,1,2,2,2,2,4,4,4,5,5,4,3,3,2,5,4,7,109333
503,3,4,4,5,4,2,5,4,5,5,3,4,4,3,5,2,3,4,4,4,3,3,0,1930
1379,1,3,4,5,2,1,5,4,3,2,3,3,3,2,5,2,2,5,5,6,4,5,13,8432
870,3,2,4,4,3,1,5,4,2,1,2,5,5,3,3,3,1,1,5,2,3,2,12,24621
1116,4,4,3,4,2,3,3,3,5,4,3,6,4,3,3,3,4,4,5,2,5,4,0,8877
1595,3,4,3,3,3,1,5,3,2,3,5,5,3,4,1,3,4,4,6,4,5,4,4,8369
318,4,3,6,5,2,4,6,3,2,3,3,5,3,2,3,5,3,2,6,5,4,5,3,3753
334,3,2,4,4,4,4,4,3,5,4,2,5,4,5,3,5,4,2,3,5,4,5,1,6312
1792,4,2,4,3,2,2,5,4,3,2,3,3,4,4,4,5,2,5,5,3,6,5,4,27593
1494,1,2,6,1,4,3,1,4,1,2,2,1,5,3,2,6,2,1,5,4,6,2,26,96562
73,3,4,4,6,4,1,3,3,1,2,4,3,4,3,2,4,4,4,4,2,4,5,7,761
34,2,2,3,6,4,5,2,2,2,1,3,5,3,3,3,2,2,5,5,3,6,3,18,1620
233,2,3,1,4,3,3,6,3,3,4,2,6,1,4,3,3,3,4,4,3,4,3,0,4576
181,1,2,3,4,3,2,2,2,2,4,5,6,1,3,2,3,3,4,5,3,5,3,10,3167
718,1,3,6,5,2,2,5,3,2,5,4,5,6,2,4,5,2,3,4,3,5,4,14,8567
1992,2,1,5,5,4,3,3,5,2,5,5,3,3,3,4,4,5,5,6,3,4,4,8,31667
720,2,3,5,1,4,1,2,3,5,3,3,1,5,2,4,3,5,1,4,3,5,2,5,9640
202,4,3,3,1,4,3,2,5,3,2,4,6,2,5,4,4,3,4,5,5,3,2,0,2277
1920,4,3,3,1,4,2,1,3,1,3,3,4,5,5,5,5,3,3,4,2,5,3,9,111304
1129,5,2,2,5,5,4,3,3,3,4,3,5,2,5,4,3,3,3,5,2,5,3,0,62836
1219,2,2,1,6,4,3,2,2,5,5,3,5,2,3,2,4,2,2,4,3,6,2,12,44442
1072,4,5,4,5,3,4,3,5,4,2,5,2,1,4,5,3,2,2,6,2,4,2,4,31848
1295,2,4,4,2,2,3,1,2,2,5,3,4,6,5,2,5,4,5,6,5,6,3,9,17444
543,2,2,4,2,5,3,4,3,3,3,2,4,5,3,1,4,1,3,5,3,5,5,10,10815
1325,5,3,2,4,4,5,3,3,3,3,4,3,4,3,3,5,4,4,3,2,4,3,0,37424
747,5,4,3,4,4,2,5,3,4,1,1,5,5,5,2,4,1,5,4,3,5,3,10,13721
69,4,1,3,2,2,1,2,1,2,2,1,2,5,2,4,2,4,3,4,5,4,2,3,532
62,4,2,3,4,4,4,4,5,3,5,3,5,3,4,2,4,2,3,3,5,5,4,1,568
1052,1,4,3,5,4,5,6,2,2,3,3,6,4,3,3,3,2,2,4,4,4,2,13,51926
1682,2,4,2,4,3,1,2,5,3,4,2,3,5,4,2,5,3,2,4,4,6,2,4,67727
722,5,4,5,4,4,3,6,4,3,5,2,4,1,3,3,5,4,3,4,3,4,4,0,5966
1920,3,4,6,4,4,2,4,3,4,2,4,2,2,5,3,4,3,3,4,2,5,3,0,50179
1232,1,2,5,4,3,4,4,5,2,2,4,1,3,2,4,4,4,3,5,2,4,4,11,30580
1240,4,1,2,3,3,2,4,4,3,3,4,5,6,5,2,5,2,1,5,1,6,4,12,43437
1314,1,5,1,3,2,1,2,3,3,2,3,4,5,3,2,3,4,3,5,4,5,2,4,18240
1264,3,1,1,5,4,4,6,4,4,2,1,4,3,2,3,5,1,3,4,4,6,3,16,137950
267,4,3,5,5,4,4,2,5,2,2,5,5,4,3,4,3,2,4,5,1,6,2,12,9658
978,2,2,3,2,5,5,4,1,4,5,1,4,4,5,1,4,3,2,4,5,4,3,3,22841
333,3,3,5,2,3,5,6,2,3,1,4,5,1,3,5,3,4,3,3,2,5,2,1,6587
1038,4,3,2,5,4,4,3,2,2,3,4,1,2,4,1,3,4,2,5,2,4,3,2,64210
1365,2,1,4,5,3,3,4,4,4,4,4,2,5,3,3,3,3,5,3,5,5,2,3,25755
1289,3,4,2,5,3,4,5,5,2,4,2,5,4,2,3,4,5,1,6,3,3,2,5,35973
809,2,3,5,4,4,5,2,2,3,5,3,3,6,3,3,3,3,2,5,4,4,3,0,28768
65,2,4,5,4,3,3,5,3,2,2,1,3,2,4,1,6,5,3,4,1,5,2,3,1673
628,4,2,2,5,3,2,2,5,5,3,3,3,5,3,4,3,3,2,5,4,5,2,0,12614
691,4,5,2,6,5,4,5,4,2,1,4,3,6,4,3,2,3,5,4,5,3,4,2,6782
391,5,4,2,5,4,3,1,4,2,4,3,3,5,4,3,5,3,1,4,5,6,4,3,13248
1610,4,3,2,3,5,2,5,1,2,4,1,5,2,3,4,4,1,3,4,4,6,4,19,79100
1000,3,3,6,6,5,5,2,4,1,1,1,5,3,2,4,5,1,5,3,4,4,4,24,45741
309,4,3,2,5,3,3,4,4,2,4,4,5,3,3,3,2,1,4,4,1,5,2,12,6738
238,3,1,3,2,3,5,5,2,5,1,4,5,4,4,2,5,2,4,4,5,5,2,5,4874
1381,1,1,6,3,4,3,5,2,4,1,2,4,6,4,3,3,4,3,4,4,5,1,6,31303
1965,3,2,4,5,5,2,4,3,1,5,5,4,1,4,2,3,1,2,4,5,6,3,22,75605
855,3,2,4,1,5,3,1,1,3,5,2,5,2,2,5,5,4,4,5,1,6,2,9,36194
1059,3,5,5,3,3,1,4,5,2,3,4,3,1,3,4,5,4,5,3,4,4,4,0,4033
783,2,3,6,4,4,1,5,2,4,3,1,6,5,3,3,5,2,3,5,5,4,5,4,8522
1658,2,2,2,3,4,4,5,2,2,4,4,5,3,3,3,6,4,3,4,3,3,4,5,43741
794,5,5,2,5,4,2,4,3,4,4,1,3,4,3,4,3,4,4,5,2,4,4,0,7070
1782,1,2,5,6,2,3,3,2,3,5,4,2,3,4,4,4,3,3,5,3,5,2,16,80339
1354,5,2,3,4,2,3,3,1,5,2,4,4,3,5,1,4,2,3,4,1,5,1,9,33622
1599,4,4,6,1,3,2,3,4,5,2,4,2,2,5,4,3,3,4,5,3,3,4,0,12117
1615,2,1,4,2,3,5,4,2,5,1,3,3,4,2,2,2,4,3,4,5,4,1,0,34017
549,4,4,5,4,4,4,2,2,4,1,3,5,4,3,4,6,3,2,4,6,4,1,2,18084
1688,4,4,4,4,2,5,4,2,2,1,2,2,3,3,5,4,5,3,5,6,6,1,12,101260
1572,2,2,4,2,3,3,4,5,4,2,2,1,2,3,2,3,5,4,5,1,6,3,4,38132
587,5,3,4,2,3,5,5,3,2,4,4,3,5,5,2,5,4,1,5,2,4,1,2,9574
930,1,5,5,1,4,1,5,1,4,3,2,4,1,5,2,4,3,4,4,4,4,4,4,10002
1779,2,2,3,5,4,3,2,2,2,4,1,2,5,5,3,4,4,5,4,1,3,3,5,83377
344,2,5,2,2,2,3,5,3,3,4,4,1,2,5,3,6,1,1,3,3,5,2,13,10332
410,4,1,1,5,4,2,5,2,4,3,2,4,5,5,2,2,2,1,6,4,5,5,6,10764
446,3,4,5,2,4,2,2,3,4,3,3,6,5,3,3,2,3,5,5,2,4,2,0,2820
1122,2,4,4,2,3,4,5,2,4,2,2,4,3,5,2,2,3,2,3,1,6,1,7,36518
628,2,2,2,2,3,1,3,1,5,3,3,5,4,5,4,5,4,5,3,3,5,5,4,4817
734,2,3,2,2,3,3,5,1,4,3,3,2,3,3,5,3,5,3,4,6,6,1,9,24759
1235,3,2,2,6,2,3,3,3,5,1,4,4,1,2,5,4,4,3,4,2,5,5,1,40230
1891,4,5,1,6,2,5,2,2,4,2,2,2,4,3,3,2,3,3,5,5,6,5,1,49074
293,4,5,5,2,3,4,6,3,2,2,4,3,4,5,3,4,4,1,3,2,4,2,0,4463
935,3,3,5,5,3,3,4,1,3,3,2,5,5,2,2,3,2,4,4,4,6,2,9,23048
1580,3,1,2,5,2,4,1,1,3,4,2,4,5,3,1,2,3,3,5,3,6,2,6,87862
108,4,1,4,5,4,2,3,4,2,5,4,4,3,4,4,2,3,5,4,1,6,5,7,1162
1157,2,3,4,3,3,2,3,5,4,5,4,2,3,2,3,2,5,1,3,5,5,5,0,4757
474,2,2,2,5,3,5,4,1,2,5,3,2,4,2,5,5,4,3,6,2,5,4,17,46324
1649,3,2,2,5,3,2,5,5,4,1,2,6,2,3,2,6,1,5,6,6,4,5,10,12072
994,2,3,3,5,4,4,5,3,2,2,2,2,4,3,3,6,3,4,4,5,4,5,3,35187
1758,4,3,4,1,4,4,4,5,2,4,4,4,2,3,2,4,2,5,3,6,4,3,0,7929
879,4,2,3,6,4,1,3,3,3,3,5,4,2,5,3,5,3,2,6,5,4,3,4,20177
1786,2,1,4,3,3,3,5,3,3,5,2,6,3,2,2,3,1,2,3,4,3,4,9,19409
1910,2,3,3,1,4,4,3,2,4,2,1,3,4,2,4,2,3,2,5,2,5,2,3,91273
1295,2,2,3,5,2,3,4,4,1,1,2,4,1,2,3,6,4,2,3,1,5,4,11,78192
1301,3,4,3,3,3,3,4,4,3,2,2,3,2,5,2,5,5,4,4,2,4,3,0,27630
672,4,3,4,5,5,1,5,4,2,3,1,3,6,2,5,6,4,4,4,5,5,1,9,22726
1207,2,1,5,4,3,2,2,2,4,2,4,1,6,4,4,6,4,2,4,4,4,2,10,42335
659,1,2,6,6,5,3,5,2,3,4,1,4,6,4,4,3,1,4,5,3,5,5,29,28772
273,1,4,6,4,5,2,2,2,4,3,2,4,5,3,4,5,1,4,3,5,5,4,15,4507
1780,1,4,4,5,4,4,5,4,5,4,4,5,5,5,4,6,4,2,4,3,4,5,5,32666
1044,3,3,5,1,2,2,6,4,3,4,1,2,5,2,4,3,2,3,3,4,4,4,2,5662
1004,3,2,2,1,4,2,3,2,4,4,3,1,5,4,2,4,4,4,5,5,4,3,0,18104
1108,4,4,1,2,2,4,3,2,4,4,3,5,1,4,4,6,1,5,4,3,3,1,7,31553
877,3,4,5,5,2,2,4,2,4,2,1,4,4,3,2,4,4,4,6,2,4,2,1,18058
1377,4,3,3,5,5,4,3,4,3,3,3,6,3,4,2,6,3,2,6,4,3,1,4,115519
1596,5,4,2,1,2,3,2,2,1,3,2,4,2,3,2,5,2,3,4,6,5,3,10,40682
327,3,5,4,5,5,2,6,2,5,2,2,2,3,5,2,4,2,3,5,5,6,3,6,8011
310,4,3,4,4,4,4,5,4,2,5,2,5,5,2,3,3,3,4,4,3,4,3,0,2365
749,4,1,3,6,2,3,1,2,2,3,3,4,5,4,2,5,3,4,6,1,5,1,17,57665
1013,4,4,3,2,5,4,4,2,5,2,4,2,5,4,1,5,3,2,6,1,6,2,3,19750
1789,2,1,5,1,3,4,2,4,2,3,4,3,2,3,4,4,5,5,6,4,5,4,8,34857
1625,2,4,4,5,2,3,2,3,3,2,1,6,4,4,5,3,4,3,3,1,3,5,5,43419
1728,2,2,4,2,2,5,5,5,1,3,3,4,5,4,3,5,3,3,5,2,4,4,7,25147
480,2,5,4,5,3,3,5,3,5,3,3,3,6,2,3,4,3,1,6,1,3,3,4,10227
1431,4,3,1,3,5,4,4,3,5,2,5,2,3,4,4,6,4,1,5,3,3,3,2,70263
1290,3,3,4,2,3,3,1,4,5,3,2,1,4,5,4,4,5,4,4,5,4,2,3,21258
495,1,2,2,4,4,4,4,2,3,5,4,5,5,3,2,4,4,4,6,1,3,3,6,11341
364,2,1,4,4,2,4,3,4,3,5,4,4,5,4,2,5,4,3,5,6,4,3,2,5062
930,5,2,3,2,4,5,1,2,3,3,2,5,4,5,4,6,2,2,3,2,3,4,7,40752
348,2,3,5,4,3,2,4,1,4,5,2,4,1,2,5,4,4,1,4,6,3,2,2,5277
58,1,1,4,3,4,2,5,5,5,4,3,5,4,4,4,5,3,2,4,5,6,2,12,1007
762,1,5,3,1,2,1,5,4,4,3,5,1,4,4,3,4,5,1,6,4,4,2,10,6010
806,4,5,2,3,3,5,5,2,2,4,2,4,1,4,2,3,2,1,5,5,4,4,3,19926
1435,4,2,3,2,3,3,5,2,3,2,4,2,5,3,3,2,5,2,3,5,5,2,0,19517
1556,3,3,3,1,4,4,4,5,4,1,5,2,4,2,2,4,4,5,5,1,4,4,0,20321
1225,2,3,2,1,4,1,2,5,5,2,4,4,4,3,4,4,3,4,6,2,5,3,3,18246
382,3,4,6,4,3,5,2,4,3,1,3,2,1,2,4,4,5,1,4,5,6,2,3,15580
1607,2,1,3,2,3,2,2,4,1,1,2,2,2,4,5,5,3,1,3,4,5,3,13,230490
98,5,1,1,4,4,4,3,4,3,3,5,3,5,3,3,6,5,2,4,2,5,3,4,1526
176,2,4,2,4,5,4,6,2,2,4,1,3,3,2,3,3,4,2,3,6,3,3,0,3760
1221,3,3,6,3,5,3,4,4,2,2,4,5,3,5,4,5,4,5,5,4,5,2,3,22363
929,3,1,3,3,3,2,4,2,3,3,2,3,3,4,2,2,4,4,3,5,5,5,0,9780
158,4,4,6,4,3,2,5,2,1,3,2,3,3,2,4,5,1,2,6,2,4,3,20,6323
1384,2,5,5,5,3,4,4,1,4,5,3,5,1,3,4,3,3,3,3,3,6,3,4,21706
127,2,3,5,3,4,3,3,3,3,3,1,2,6,3,5,2,2,2,4,1,4,4,10,3929
1113,2,2,2,4,2,2,5,3,1,4,2,1,6,4,5,2,5,2,4,5,5,5,15,25628
1723,3,4,3,2,4,2,5,2,2,1,4,4,1,2,2,3,3,2,6,4,3,2,3,48829
1513,5,3,3,5,3,5,4,1,2,2,5,4,3,4,5,3,3,3,6,4,4,3,6,86831
1780,3,3,5,3,3,4,3,5,2,4,3,2,3,4,4,5,1,1,5,1,5,4,16,120018
505,2,3,6,4,5,4,4,1,3,3,5,3,2,3,2,4,2,5,4,3,6,2,9,11444
488,2,5,6,2,4,3,5,5,4,3,3,4,3,4,2,5,5,2,4,3,5,3,0,3718
326,3,1,3,4,3,3,2,2,2,2,3,5,4,5,2,4,4,4,3,3,6,4,5,10792
1190,1,3,2,4,4,4,3,1,1,4,3,5,2,5,4,5,1,4,3,5,4,4,30,98939
1479,3,2,3,4,4,3,5,3,2,3,2,3,4,4,1,3,5,2,5,3,4,2,0,48754
1330,3,1,4,5,3,3,3,5,3,2,4,2,3,4,3,2,4,3,3,5,5,2,0,22983
1420,5,4,1,2,3,2,4,3,4,2,2,4,1,3,2,5,3,4,3,1,6,2,1,31072
1054,4,4,1,3,4,2,3,4,3,2,2,4,6,5,4,2,4,2,4,4,4,2,0,16680
509,3,1,3,2,5,1,5,5,2,3,4,2,2,3,2,2,3,5,6,2,6,3,8,5668
441,3,3,4,3,5,4,2,1,2,3,3,6,4,4,4,2,1,4,5,1,3,2,16,20423
1548,5,4,2,1,2,1,5,4,4,5,5,6,4,3,5,5,3,4,4,2,4,3,0,4670
1198,3,4,6,3,2,4,2,1,3,3,2,5,1,2,3,4,4,2,4,6,5,3,1,19998
972,1,2,5,1,5,3,3,3,3,5,3,4,1,2,5,3,2,1,4,6,5,2,12,31104
477,4,5,1,4,4,3,5,1,1,3,4,4,4,2,3,4,3,2,3,2,5,1,13,10698
1843,4,4,1,1,4,3,5,3,3,2,4,3,3,4,3,5,1,3,5,5,3,5,1,37143
481,2,2,5,2,3,1,6,1,3,1,1,4,6,5,1,2,1,1,5,1,5,1,26,10674
467,5,2,1,5,5,5,5,4,4,5,4,2,6,4,2,5,2,1,6,3,6,3,4,14616
1135,3,3,2,1,4,1,3,1,2,3,2,5,5,2,3,3,1,5,5,1,4,5,13,11682
594,4,1,2,6,3,3,2,4,3,2,3,5,4,3,4,4,4,2,5,5,5,1,6,29613
1397,3,4,6,5,5,3,6,2,2,4,3,1,4,4,2,4,5,2,4,5,6,2,7,35503
193,2,4,4,1,2,2,6,4,4,2,3,4,5,2,3,4,5,3,3,6,5,1,2,492
1434,2,3,5,5,2,5,3,4,3,2,4,1,3,3,3,4,2,1,5,4,3,3,6,73300
1904,5,4,4,1,4,2,2,3,5,4,2,2,3,2,2,4,5,2,5,6,4,4,0,8284
508,5,3,5,4,3,3,2,1,3,3,3,5,1,3,4,3,3,2,4,4,3,2,0,13973
673,2,3,5,3,2,1,5,4,5,4,2,5,4,3,4,5,5,5,6,2,5,3,3,3255
236,4,3,4,3,2,3,5,5,3,4,3,1,3,5,5,5,4,4,4,3,3,3,4,2104
1605,1,4,4,1,4,4,5,3,4,5,5,1,1,3,3,2,4,3,5,2,5,1,12,21463
1789,4,2,3,3,4,2,4,4,5,3,1,4,5,3,4,5,4,2,3,2,5,2,0,54362
1832,3,2,3,2,4,1,5,4,4,2,1,6,5,3,2,5,1,4,3,3,6,5,12,21659
720,5,1,4,4,2,2,6,5,3,5,4,3,2,3,3,5,4,2,5,5,3,3,1,6095
628,3,5,4,3,4,4,4,3,4,2,3,4,2,4,5,5,4,3,5,2,5,4,0,21418
99,2,4,3,3,3,1,6,3,2,5,3,1,4,4,5,5,4,1,4,3,5,4,10,2014
1916,4,3,6,1,3,2,2,1,4,5,4,2,5,5,4,3,4,2,4,4,4,1,1,22784
1016,5,2,5,5,5,3,5,2,4,3,3,6,4,5,3,3,3,3,5,5,4,4,0,13540
